answer_type_name,choices,question,correct_answer,lang,source,choices_processed,topic,test_item_id
Single Choice,"[{'t-Test': 'true', 'Chi-Quadrat-Test': 'false', 'ANOVA': 'false', 'Korrelationstest': 'false'}]","Welcher Test wird verwendet, um festzustellen, ob der Mittelwert zweier Gruppen signifikant unterschiedlich ist?",t-Test,GERMAN,ChatGPT3.5,t-Test Chi-Quadrat-Test ANOVA Korrelationstest,grundlegende statistiken,2823
Single Choice,"[{'Lese': 'true', 'Leste': 'false', 'Lesen': 'false', 'Las': 'false'}]",Was ist das Verb für 'lesen' in der Gegenwart?,Lese,GERMAN,ChatGPT3.5,Lese Leste Lesen Las,deutsche sprachkompetenz,2824
Single Choice,"[{'Das': 'true', 'Der': 'false', 'Die': 'false', 'Ein': 'false'}]",Welcher Artikel gehört zum Nomen 'Haus'?,Das,GERMAN,ChatGPT3.5,Das Der Die Ein,deutsche sprachkompetenz,2825
Single Choice,"[{'Fahrzeug': 'true', 'Flugzeug': 'false', 'Boot': 'false', 'Zug': 'false'}]",Was bedeutet 'Auto' auf Deutsch?,Fahrzeug,GERMAN,ChatGPT3.5,Fahrzeug Flugzeug Boot Zug,deutsche sprachkompetenz,2826
Single Choice,"[{'Du sprichst': 'true', 'Ihr sprecht': 'false', 'Er spricht': 'false', 'Wir sprechen': 'false'}]",Welche Form ist die richtige für 'du' (informelle Einzahl) im Präsens?,Du sprichst,GERMAN,ChatGPT3.5,Du sprichst Ihr sprecht Er spricht Wir sprechen,deutsche sprachkompetenz,2827
Single Choice,"[{'Die Gestaltung von Pflanzenbeeten und Blumenarrangements': 'false', 'Die Integration von festen Strukturen wie Gehwegen und Terrassen': 'true', 'Die Pflege und Wartung von Rasenflächen': 'false', 'Die Auswahl von Gartenmöbeln und Dekorationen': 'false'}]",Was versteht man unter Hardscaping im Garten- und Landschaftsbau?,Die Integration von festen Strukturen wie Gehwegen und Terrassen,GERMAN,ChatGPT3.5,Die Gestaltung von Pflanzenbeeten und Blumenarrangements Die Integration von festen Strukturen wie Gehwegen und Terrassen Die Pflege und Wartung von Rasenflächen Die Auswahl von Gartenmöbeln und Dekorationen,garten- und landschaftsbau,2828
Single Choice,"[{'Nur die ästhetische Wirkung der Pflanzen': 'false', 'Klima, Bodenbeschaffenheit und Standortbedingungen': 'true', 'Nur der persönliche Geschmack des Gärtners': 'false', 'Die Verfügbarkeit im örtlichen Gartencenter': 'false'}]",Welche Faktoren sollten bei der Auswahl von Pflanzen für einen Garten berücksichtigt werden?,"Klima, Bodenbeschaffenheit und Standortbedingungen",GERMAN,ChatGPT3.5,"Nur die ästhetische Wirkung der Pflanzen Klima, Bodenbeschaffenheit und Standortbedingungen Nur der persönliche Geschmack des Gärtners Die Verfügbarkeit im örtlichen Gartencenter",garten- und landschaftsbau,2829
Single Choice,"[{'Um Schädlinge fernzuhalten': 'false', 'Um den Boden zu verschönern': 'false', 'Um das Wachstum und die Gesundheit der Pflanzen zu fördern': 'true', 'Um die Farben der Blumen zu ändern': 'false'}]",Warum ist regelmäßige Bewässerung im Garten wichtig?,Um das Wachstum und die Gesundheit der Pflanzen zu fördern,GERMAN,ChatGPT3.5,Um Schädlinge fernzuhalten Um den Boden zu verschönern Um das Wachstum und die Gesundheit der Pflanzen zu fördern Um die Farben der Blumen zu ändern,garten- und landschaftsbau,2830
Single Choice,"[{'Rasenmäher': 'false', 'Spaten': 'false', 'Hacke': 'true', 'Gießkanne': 'false'}]","Welches Gartengerät wird verwendet, um den Boden zu lockern und zu belüften?",Hacke,GERMAN,ChatGPT3.5,Rasenmäher Spaten Hacke Gießkanne,garten- und landschaftsbau,2831
Single Choice,"[{'Die Umwandlung von analogen Informationen in digitale Formate': 'true', 'Die Umwandlung von physischen Gütern in virtuelle Güter': 'false', 'Die Verwendung von Papier und Stift für Geschäftsprozesse': 'false', 'Die Entwicklung von Papierbüchern': 'false'}]",Was versteht man unter dem Begriff 'Digitalisierung'?,Die Umwandlung von analogen Informationen in digitale Formate,GERMAN,ChatGPT3.5,Die Umwandlung von analogen Informationen in digitale Formate Die Umwandlung von physischen Gütern in virtuelle Güter Die Verwendung von Papier und Stift für Geschäftsprozesse Die Entwicklung von Papierbüchern,einsatz von technologie,2832
Single Choice,"[{'Bluetooth': 'true', 'GPS': 'false', 'Satellitenkommunikation': 'false', 'Festnetztelefonie': 'false'}]","Welche Technologie ermöglicht es, Informationen drahtlos über kurze Distanzen auszutauschen?",Bluetooth,GERMAN,ChatGPT3.5,Bluetooth GPS Satellitenkommunikation Festnetztelefonie,eignungstest für informationstechnologie,2833
Single Choice,"[{'Die Fähigkeit von Computern, aus Daten zu lernen und Vorhersagen zu treffen': 'true', 'Die Verwendung von Schreibmaschinen in Unternehmen': 'false', 'Die manuelle Dateneingabe in Computer': 'false', 'Die Entwicklung von Robotern mit menschlicher Intelligenz': 'false'}]",Was beschreibt den Begriff 'Machine Learning'?,"Die Fähigkeit von Computern, aus Daten zu lernen und Vorhersagen zu treffen",GERMAN,ChatGPT3.5,"Die Fähigkeit von Computern, aus Daten zu lernen und Vorhersagen zu treffen Die Verwendung von Schreibmaschinen in Unternehmen Die manuelle Dateneingabe in Computer Die Entwicklung von Robotern mit menschlicher Intelligenz",eignungstest für informationstechnologie,2834
Single Choice,"[{'Verwendung von starken Passwörtern und Zwei-Faktor-Authentifizierung': 'true', 'Veröffentlichung aller persönlichen Daten im Internet': 'false', 'Nutzung öffentlicher WLAN-Netzwerke ohne Schutzmaßnahmen': 'false', 'Teilen von Passwörtern mit Freunden': 'false'}]","Welche Maßnahme ist wichtig, um die Sicherheit von Online-Konten zu gewährleisten?",Verwendung von starken Passwörtern und Zwei-Faktor-Authentifizierung,GERMAN,ChatGPT3.5,Verwendung von starken Passwörtern und Zwei-Faktor-Authentifizierung Veröffentlichung aller persönlichen Daten im Internet Nutzung öffentlicher WLAN-Netzwerke ohne Schutzmaßnahmen Teilen von Passwörtern mit Freunden,internet -sicherheit,2835
Single Choice,"[{'Eine Software zur Planung und Überwachung von Produktionsprozessen': 'true', 'Ein Produktionsroboter': 'false', 'Eine Produktionsanlage': 'false', 'Ein Lagerverwaltungssystem': 'false'}]",Was ist ein Produktionsplanungs- und Steuerungssystem (PPS)?,Eine Software zur Planung und Überwachung von Produktionsprozessen,GERMAN,ChatGPT3.5,Eine Software zur Planung und Überwachung von Produktionsprozessen Ein Produktionsroboter Eine Produktionsanlage Ein Lagerverwaltungssystem,management-kontrollsystem,2836
Single Choice,"[{'Die optimale Nutzung von Ressourcen und die termingerechte Produktion von Produkten': 'true', 'Die Minimierung der Mitarbeiterzahl in der Produktion': 'false', 'Die Maximierung des Gewinns unabhängig von den Ressourcen': 'false', 'Die Produktion von Produkten ohne Ressourcenplanung': 'false'}]",Was ist das Hauptziel der Fertigungsplanung?,Die optimale Nutzung von Ressourcen und die termingerechte Produktion von Produkten,GERMAN,ChatGPT3.5,Die optimale Nutzung von Ressourcen und die termingerechte Produktion von Produkten Die Minimierung der Mitarbeiterzahl in der Produktion Die Maximierung des Gewinns unabhängig von den Ressourcen Die Produktion von Produkten ohne Ressourcenplanung,"betriebswirtschaftliche kenntnisse (planung, prozessmanagement, beschaffung, governance und schutz des geistigen eigentums)",2837
Single Choice,"[{'Die Ermittlung des benötigten Materials für die Produktion': 'true', 'Die Überwachung der Mitarbeiterleistung in der Produktion': 'false', 'Die Bestimmung der Verkaufspreise für Produkte': 'false', 'Die Planung von Werbekampagnen': 'false'}]",Was ist die Aufgabe der Materialbedarfsplanung in einem PPS?,Die Ermittlung des benötigten Materials für die Produktion,GERMAN,ChatGPT3.5,Die Ermittlung des benötigten Materials für die Produktion Die Überwachung der Mitarbeiterleistung in der Produktion Die Bestimmung der Verkaufspreise für Produkte Die Planung von Werbekampagnen,metallbearbeitung und -verarbeitung,2838
Single Choice,"[{'Die Planung der verfügbaren Produktionsressourcen wie Maschinen und Arbeitskräfte': 'true', 'Die Festlegung der Verkaufsziele eines Unternehmens': 'false', 'Die Bestimmung der Materialkosten für die Produktion': 'false', 'Die Planung von Transportrouten für Produkte': 'false'}]",Was beinhaltet die Kapazitätsplanung in einem PPS?,Die Planung der verfügbaren Produktionsressourcen wie Maschinen und Arbeitskräfte,GERMAN,ChatGPT3.5,Die Planung der verfügbaren Produktionsressourcen wie Maschinen und Arbeitskräfte Die Festlegung der Verkaufsziele eines Unternehmens Die Bestimmung der Materialkosten für die Produktion Die Planung von Transportrouten für Produkte,aufgabenmanagement,2839
Single Choice,"[{'Vertretung der deutschen Interessen im Ausland': 'true', 'Verkehrspolitik in Deutschland': 'false', 'Umweltschutz in Deutschland': 'false', 'Steuereintreibung in Deutschland': 'false'}]",Welche Aufgaben hat das Auswärtige Amt in Deutschland?,Vertretung der deutschen Interessen im Ausland,GERMAN,ChatGPT3.5,Vertretung der deutschen Interessen im Ausland Verkehrspolitik in Deutschland Umweltschutz in Deutschland Steuereintreibung in Deutschland,diplomatie und außenpolitische verwaltung,2840
Single Choice,"[{'Die Kunst der internationalen Verhandlung und Kommunikation': 'true', 'Die Kunst des Kochens': 'false', 'Die Kunst des Malens': 'false', 'Die Kunst des Musizierens': 'false'}]",Was ist Diplomatie?,Die Kunst der internationalen Verhandlung und Kommunikation,GERMAN,ChatGPT3.5,Die Kunst der internationalen Verhandlung und Kommunikation Die Kunst des Kochens Die Kunst des Malens Die Kunst des Musizierens,diplomatie und außenpolitische verwaltung,2841
Single Choice,"[{'Vereinigte Staaten von Amerika': 'true', 'China': 'false', 'Russland': 'false', 'Deutschland': 'false'}]",Welches Land hat die meisten Botschaften weltweit?,Vereinigte Staaten von Amerika,GERMAN,ChatGPT3.5,Vereinigte Staaten von Amerika China Russland Deutschland,diplomatie und außenpolitische verwaltung,2842
Single Choice,"[{'Vertretung der Heimatregierung und Unterstützung von Staatsbürgern': 'true', 'Verkauf von Lebensmitteln': 'false', 'Verkauf von Autos': 'false', 'Organisation von Konzerten': 'false'}]",Welche Aufgaben hat eine Botschaft im Ausland?,Vertretung der Heimatregierung und Unterstützung von Staatsbürgern,GERMAN,ChatGPT3.5,Vertretung der Heimatregierung und Unterstützung von Staatsbürgern Verkauf von Lebensmitteln Verkauf von Autos Organisation von Konzerten,diplomatie und außenpolitische verwaltung,2843
Multiple Choice Matrix,"[{'Eine Methode zum Online-Shopping': 'false', 'Eine Methode zum elektronischen Lernen über das Internet': 'true', 'Eine Methode zum Kochen von Mahlzeiten': 'false', 'Eine Methode zum Autoreparatur-Training': 'false'}]",Was ist E-Learning?,Eine Methode zum elektronischen Lernen über das Internet,GERMAN,ChatGPT3.5,Eine Methode zum Online-Shopping Eine Methode zum elektronischen Lernen über das Internet Eine Methode zum Kochen von Mahlzeiten Eine Methode zum Autoreparatur-Training,e-learning und kursbewertung,2844
Multiple Choice Matrix,"[{'Facebook': 'false', 'Coursera': 'true', 'Twitter': 'false', 'Udemy': 'true'}]",Welche der folgenden sind gängige E-Learning-Plattformen?,"Coursera, Udemy",GERMAN,ChatGPT3.5,Facebook Coursera Twitter Udemy,e-learning und kursbewertung,2845
Multiple Choice Matrix,"[{'Zeitverschwendung und ineffektiv': 'false', 'Flexibles Lernen von überall aus': 'true', 'Hohe Kosten für Schulungsmaterialien': 'false', 'Keine Möglichkeit zur Interaktion mit Lehrern': 'false'}]",Welche der folgenden Aussagen sind Vorteile von E-Learning?,Flexibles Lernen von überall aus,GERMAN,ChatGPT3.5,Zeitverschwendung und ineffektiv Flexibles Lernen von überall aus Hohe Kosten für Schulungsmaterialien Keine Möglichkeit zur Interaktion mit Lehrern,e-learning und kursbewertung,2846
Multiple Choice Matrix,"[{'Nur Text ohne Bilder oder Videos': 'false', 'Text, Bilder, Videos, interaktive Übungen': 'true', 'Nur Videos ohne Text oder Bilder': 'false', 'Nur Audioaufnahmen ohne andere Materialien': 'false'}]",Welche Arten von Inhalten können in E-Learning-Kursen verwendet werden?,"Text, Bilder, Videos, interaktive Übungen",GERMAN,ChatGPT3.5,"Nur Text ohne Bilder oder Videos Text, Bilder, Videos, interaktive Übungen Nur Videos ohne Text oder Bilder Nur Audioaufnahmen ohne andere Materialien",e-learning und kursbewertung,2847
Multiple Choice Matrix,"[{'Produktionskapazität': 'true', 'Nachfrage': 'false', 'Wetterbedingungen': 'false', 'Aktienkurse': 'false'}]",Welche Faktoren beeinflussen die Produktionsplanung?,Produktionskapazität,GERMAN,ChatGPT3.5,Produktionskapazität Nachfrage Wetterbedingungen Aktienkurse,"betriebswirtschaftliche kenntnisse (planung, prozessmanagement, beschaffung, governance und schutz des geistigen eigentums)",2848
Multiple Choice Matrix,"[{'Langfristige Produktionsplanung': 'true', 'Kurzfristige Produktionsplanung': 'true', 'Tägliche Produktionsplanung': 'true', 'Monatliche Produktionsplanung': 'true'}]",Welche Arten der Produktionsplanung gibt es?,"Langfristige Produktionsplanung, Kurzfristige Produktionsplanung, Tägliche Produktionsplanung, Monatliche Produktionsplanung",GERMAN,ChatGPT3.5,Langfristige Produktionsplanung Kurzfristige Produktionsplanung Tägliche Produktionsplanung Monatliche Produktionsplanung,"betriebswirtschaftliche kenntnisse (planung, prozessmanagement, beschaffung, governance und schutz des geistigen eigentums)",2849
Multiple Choice Matrix,"[{'Ermittlung des Materialbedarfs': 'true', 'Optimierung der Produktionsprozesse': 'false', 'Verkaufsförderung': 'false', 'Personalplanung': 'false'}]",Welche Rolle spielt die Materialbedarfsplanung in der Produktionsplanung?,Ermittlung des Materialbedarfs,GERMAN,ChatGPT3.5,Ermittlung des Materialbedarfs Optimierung der Produktionsprozesse Verkaufsförderung Personalplanung,metallbearbeitung und -verarbeitung,2850
Multiple Choice Matrix,"[{'Festlegung der Produktionskapazität': 'true', 'Bestimmung des Materialbedarfs': 'false', 'Verkaufsförderung': 'false', 'Entwicklung neuer Produkte': 'false'}]",Was ist die Hauptaufgabe der Kapazitätsplanung?,Festlegung der Produktionskapazität,GERMAN,ChatGPT3.5,Festlegung der Produktionskapazität Bestimmung des Materialbedarfs Verkaufsförderung Entwicklung neuer Produkte,aufgabenmanagement,2851
Multiple Choice Matrix,"[{'Frauen haben in allen Berufen die gleichen Aufstiegschancen wie Männer.': 'false', 'Die Lohnlücke zwischen Frauen und Männern existiert nicht mehr.': 'false', 'Frauen sind in einigen Branchen immer noch unterrepräsentiert.': 'true', 'Frauen sind in Führungspositionen genauso häufig vertreten wie Männer.': 'false'}]",Welche der folgenden Aussagen sind korrekt in Bezug auf Frauen in der Belegschaft? (Wähle alle zutreffenden Antworten aus),Frauen sind in einigen Branchen immer noch unterrepräsentiert.,GERMAN,ChatGPT3.5,Frauen haben in allen Berufen die gleichen Aufstiegschancen wie Männer. Die Lohnlücke zwischen Frauen und Männern existiert nicht mehr. Frauen sind in einigen Branchen immer noch unterrepräsentiert. Frauen sind in Führungspositionen genauso häufig vertreten wie Männer.,frauen in der belegschaft,2852
Multiple Choice Matrix,"[{'Die Dominanz von Männern in allen Bereichen der Arbeitswelt.': 'false', 'Die Beseitigung von Diskriminierung aufgrund des Geschlechts und die Förderung der Gleichberechtigung von Frauen und Männern.': 'true', 'Die Bevorzugung von Frauen bei der Einstellung und Beförderung.': 'false', 'Die Reduzierung der Anzahl weiblicher Arbeitskräfte in Unternehmen.': 'false'}]",Was bedeutet Geschlechtergleichstellung?,Die Beseitigung von Diskriminierung aufgrund des Geschlechts und die Förderung der Gleichberechtigung von Frauen und Männern.,GERMAN,ChatGPT3.5,Die Dominanz von Männern in allen Bereichen der Arbeitswelt. Die Beseitigung von Diskriminierung aufgrund des Geschlechts und die Förderung der Gleichberechtigung von Frauen und Männern. Die Bevorzugung von Frauen bei der Einstellung und Beförderung. Die Reduzierung der Anzahl weiblicher Arbeitskräfte in Unternehmen.,frauen in der belegschaft,2853
Multiple Choice Matrix,"[{'Frauen haben in allen Ländern gleiche Chancen, in Führungspositionen aufzusteigen.': 'false', 'Es gibt eine gläserne Decke, die Frauen daran hindert, in höhere Führungspositionen aufzusteigen.': 'true', 'Frauen in Führungspositionen verdienen immer weniger als Männer.': 'false', 'Es gibt keine Unterschiede zwischen den Geschlechtern in Bezug auf Führungsqualitäten.': 'false'}]",Wie sieht die Situation von Frauen in Führungspositionen aus? (Wähle alle zutreffenden Antworten aus),"Es gibt eine gläserne Decke, die Frauen daran hindert, in höhere Führungspositionen aufzusteigen.",GERMAN,ChatGPT3.5,"Frauen haben in allen Ländern gleiche Chancen, in Führungspositionen aufzusteigen. Es gibt eine gläserne Decke, die Frauen daran hindert, in höhere Führungspositionen aufzusteigen. Frauen in Führungspositionen verdienen immer weniger als Männer. Es gibt keine Unterschiede zwischen den Geschlechtern in Bezug auf Führungsqualitäten.",frauen in der belegschaft,2854
Multiple Choice Matrix,"[{'Versuch, sensible Informationen durch Täuschung zu stehlen': 'true', 'Eine Methode zur Datenkomprimierung': 'false', 'Ein schnelles Surfen im Internet': 'false'}]",Was versteht man unter Phishing?,"Versuch, sensible Informationen durch Täuschung zu stehlen",GERMAN,ChatGPT3.5,"Versuch, sensible Informationen durch Täuschung zu stehlen Eine Methode zur Datenkomprimierung Ein schnelles Surfen im Internet",internet -sicherheit,2855
Multiple Choice Matrix,"[{'Software, die vor schädlichen Computerviren schützt': 'true', 'Ein Programm zur Textverarbeitung': 'false', 'Eine Software zur Fotobearbeitung': 'false'}]",Was ist eine Anti-Viren-Software?,"Software, die vor schädlichen Computerviren schützt",GERMAN,ChatGPT3.5,"Software, die vor schädlichen Computerviren schützt Ein Programm zur Textverarbeitung Eine Software zur Fotobearbeitung",internet -sicherheit,2856
Multiple Choice Matrix,"[{'Ein langes Passwort mit Zahlen, Buchstaben und Sonderzeichen': 'true', 'Ein kurzes Passwort mit nur Buchstaben': 'false', 'Ein Passwort, das öffentlich geteilt wird': 'false'}]",Was ist ein starkes Passwort?,"Ein langes Passwort mit Zahlen, Buchstaben und Sonderzeichen",GERMAN,ChatGPT3.5,"Ein langes Passwort mit Zahlen, Buchstaben und Sonderzeichen Ein kurzes Passwort mit nur Buchstaben Ein Passwort, das öffentlich geteilt wird",internet -sicherheit,2857
Multiple Choice Matrix,"[{'Zum Schutz eines Netzwerks vor unautorisiertem Zugriff': 'true', 'Zur Verbesserung der Internetgeschwindigkeit': 'false', 'Zum Senden von E-Mails': 'false'}]",Wozu dient eine Firewall?,Zum Schutz eines Netzwerks vor unautorisiertem Zugriff,GERMAN,ChatGPT3.5,Zum Schutz eines Netzwerks vor unautorisiertem Zugriff Zur Verbesserung der Internetgeschwindigkeit Zum Senden von E-Mails,internet -sicherheit,2858
Multiple Choice Matrix,"[{'Mind Mapping': 'false', 'Histogramme': 'true', 'Flowcharts': 'false'}]",Welche Visualisierungstechniken sind für Datenanalyse und Berichterstattung relevant?,Histogramme,GERMAN,ChatGPT3.5,Mind Mapping Histogramme Flowcharts,visualisierungs- und präsentationstechniken,2859
Multiple Choice Matrix,"[{'Gantt-Diagramme': 'false', 'Säulendiagramme': 'true', 'Venn-Diagramme': 'false'}]","Welche Arten von Datengrafiken werden häufig verwendet, um statistische Informationen darzustellen?",Säulendiagramme,GERMAN,ChatGPT3.5,Gantt-Diagramme Säulendiagramme Venn-Diagramme,visualisierungs- und präsentationstechniken,2860
Multiple Choice Matrix,"[{'Grafiken zur Datensicherung': 'false', 'Visuelle Darstellungen von Informationen oder Daten': 'true', 'Digitale Kunstwerke': 'false'}]",Was sind Infografiken in der Regel?,Visuelle Darstellungen von Informationen oder Daten,GERMAN,ChatGPT3.5,Grafiken zur Datensicherung Visuelle Darstellungen von Informationen oder Daten Digitale Kunstwerke,visualisierungs- und präsentationstechniken,2861
Multiple Choice Matrix,"[{'Photoshop': 'false', 'Tableau': 'true', 'Microsoft Word': 'false'}]",Welche Tools werden häufig für die Erstellung von Datenvisualisierungen verwendet?,Tableau,GERMAN,ChatGPT3.5,Photoshop Tableau Microsoft Word,visualisierungs- und präsentationstechniken,2862
Multiple Choice Matrix,"[{'Ampere': 'false', 'Watt': 'false', 'Volt': 'true', 'Ohm': 'false'}]",Was ist die Einheit der elektrischen Spannung?,Volt,GERMAN,ChatGPT3.5,Ampere Watt Volt Ohm,elektrotechnik,2863
Multiple Choice Matrix,"[{'Kondensator': 'false', 'Spule': 'false', 'Widerstand': 'true', 'Diode': 'false'}]",Welches Bauelement in einem Stromkreis begrenzt normalerweise den Stromfluss?,Widerstand,GERMAN,ChatGPT3.5,Kondensator Spule Widerstand Diode,elektrotechnik,2864
Multiple Choice Matrix,"[{'Transistor': 'true', 'Kondensator': 'false', 'Widerstand': 'false', 'Spule': 'false'}]",Welches Bauelement verstärkt elektrische Signale in einer Schaltung?,Transistor,GERMAN,ChatGPT3.5,Transistor Kondensator Widerstand Spule,elektrotechnik,2865
Multiple Choice Matrix,"[{'Oszilloskop': 'false', 'Multimeter': 'true', 'Frequenzzähler': 'false', 'Logikanalysator': 'false'}]",Welches Messgerät wird zur Messung des elektrischen Widerstands eines Bauelements verwendet?,Multimeter,GERMAN,ChatGPT3.5,Oszilloskop Multimeter Frequenzzähler Logikanalysator,elektrotechnik,2866
Multiple Choice,"[{'Die Minimierung der Produktionskosten': 'false', 'Die Maximierung der Gewinne des Unternehmens': 'false', 'Die Bereitstellung von Produkten oder Dienstleistungen an Kunden': 'true', 'Die Verwaltung der Buchführung und Steuern': 'false'}]",Was ist der Hauptzweck des Vertriebs in einem Unternehmen?,Die Bereitstellung von Produkten oder Dienstleistungen an Kunden,GERMAN,ChatGPT3.5,Die Minimierung der Produktionskosten Die Maximierung der Gewinne des Unternehmens Die Bereitstellung von Produkten oder Dienstleistungen an Kunden Die Verwaltung der Buchführung und Steuern,vertrieb und handel,2867
Multiple Choice,"[{'Preissenkungen für Produkte ohne Grund': 'false', 'Cross-Selling, um Kunden zum Kauf verwandter Produkte zu bewegen': 'true', 'Ignorieren von Kundenanfragen': 'false', 'Verkauf von minderwertigen Produkten zu überteuerten Preisen': 'false'}]",Welche der folgenden Aussagen sind Beispiele für Verkaufsstrategien?,"Cross-Selling, um Kunden zum Kauf verwandter Produkte zu bewegen",GERMAN,ChatGPT3.5,"Preissenkungen für Produkte ohne Grund Cross-Selling, um Kunden zum Kauf verwandter Produkte zu bewegen Ignorieren von Kundenanfragen Verkauf von minderwertigen Produkten zu überteuerten Preisen",vertrieb und handel,2868
Multiple Choice,"[{'Es steigert die Produktionskapazität des Unternehmens': 'false', 'Es verbessert das Image des Unternehmens und die Kundenzufriedenheit': 'true', 'Es senkt die Preise der Produkte': 'false', 'Es erhöht die Anzahl der Mitarbeiter im Unternehmen': 'false'}]",Warum ist guter Kundenservice wichtig für ein Unternehmen?,Es verbessert das Image des Unternehmens und die Kundenzufriedenheit,GERMAN,ChatGPT3.5,Es steigert die Produktionskapazität des Unternehmens Es verbessert das Image des Unternehmens und die Kundenzufriedenheit Es senkt die Preise der Produkte Es erhöht die Anzahl der Mitarbeiter im Unternehmen,vertrieb und handel,2869
